,0,1,2,3,4,5,6,7
[0. 0. 0. 2. 0. 1. 0. 0. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 2. 0. 0. 0. 0. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 2. 1. 1. 0. 0. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 2. 1. 0. 0. 0. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 2. 0. 0. 0. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 2. 0. 0. 0. 1. 0. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 2. 0. 0. 1. 0. 0. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 2. 0. 0. 1. 0. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 2. 0. 0. 1. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 2. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 1. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 1. 1. 0. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 1. 0. 0. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 0. 0. 0. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 0. 0. 0. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 1. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 1. 1. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 1. 0. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 1. 0. 0. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 0. 0. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 1. 1. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 0. 0. 0. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 0. 1. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 0. 1. 0. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 0. 0. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 0. 1. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 1. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 1. 1. 0. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 1. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 0. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 1. 0. 0. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 2. 0. 1. 0. 0. 0. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 2. 0. 1. 0. 0. 0. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 1. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 1. 0. 1. 1. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 0. 1. 0. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 1. 1. 1. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 0. 0. 1. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 0. 0. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 0. 0. 1. 0. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 1. 0. 1. 1. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 1. 1. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 3. 0. 0. 0. 0. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 0. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 1. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 2. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 2. 0. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 3. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 4. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 4. 0. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 5. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 5. 0. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 5. 0. 0. 0. 0. 1. 1. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 6. 0. 0. 0. 0. 1. 1. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 6. 0. 0. 0. 0. 1. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 6. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 2. 6. 0. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
